Product,Model,Month,Forecast,Lower CI,Upper CI
PRO,Simple Moving Average,1,185198.30694444443,113381.42681318228,257015.18707570658
PRO,Simple Moving Average,2,190066.4100925926,124643.059718695,255489.76046649017
PRO,Simple Moving Average,3,197920.6645679012,153242.61176219862,242598.71737360378
GURU,Simple Moving Average,1,593045.8752777778,508139.8773463374,677951.8732092181
GURU,Simple Moving Average,2,589942.0234259259,507163.23811238655,672720.8087394652
GURU,Simple Moving Average,3,579387.8809567901,527157.2004554541,631618.5614581261
BUSINESS,Simple Moving Average,1,107555.19833333332,86463.16691341973,128647.22975324691
BUSINESS,Simple Moving Average,2,104555.62583333334,93985.0069205793,115126.24474608738
BUSINESS,Simple Moving Average,3,103932.11499999999,94065.82477759526,113798.40522240472
